tweet_text,sentiment
"I love this new feature! It's absolutely amazing! 😍",positive
"This is the worst experience I've ever had. Terrible service!",negative
"The weather is okay today, nothing special.",neutral
"Can't believe how awesome this product is! Best purchase ever!",positive
"I'm so disappointed with the quality. Not worth the money at all.",negative
"This movie was incredible! Must watch!",positive
"The food was disgusting and cold.",negative
"The meeting went as expected.",neutral
"Amazing customer service! Thank you so much!",positive
"This app is completely useless and broken.",negative
"Great job on the presentation!",positive
"The delivery was late but the product is fine.",neutral
"Fantastic experience overall!",positive
"This is a complete waste of time.",negative
"The concert was okay, nothing spectacular.",neutral
"Love the new design! Beautiful work!",positive
"Hate this new update, everything is broken!",negative
"The book was interesting but not great.",neutral
"Outstanding performance by the team!",positive
"This is the worst decision ever made.",negative
"Ugh, this app keeps crashing. So annoying!",negative
"The customer support was helpful and friendly.",positive
"This product exceeded my expectations!",positive
"The service was terrible and slow.",negative
"The movie was just okay, nothing special.",neutral
"I'm thrilled with the results!",positive
"This is absolutely horrible!",negative
"The food tasted fine, nothing amazing.",neutral
"Brilliant idea! Love it!",positive
"This is completely unacceptable!",negative
"The weather is nice today.",positive
"The traffic was awful this morning.",negative
"The meeting was productive and useful.",positive
"This is the best thing ever!",positive
"I can't stand this anymore!",negative
"The coffee was decent.",neutral
"Excellent work on this project!",positive
"This is a disaster!",negative
"The presentation was informative.",positive
"I'm so frustrated with this!",negative
"The game was fun and entertaining.",positive
"This is ridiculous!",negative
"The hotel was comfortable and clean.",positive
"I'm extremely disappointed.",negative
"The music was beautiful and inspiring.",positive
"This is the worst.",negative
"The food was delicious!",positive
"I'm so angry about this!",negative
"The sunset was gorgeous!",positive
"This is terrible quality.",negative
"The book was fascinating and well-written.",positive
"I'm so annoyed right now!",negative
"The party was amazing!",positive
"This is completely broken.",negative
"The view was breathtaking!",positive
"I'm so upset about this.",negative
"The service was outstanding!",positive
"This is a nightmare!",negative
"The food was mediocre at best.",neutral
"I'm so happy with this purchase!",positive
"This is the worst experience ever!",negative
"The movie was entertaining and fun.",positive
"I'm so disappointed in this product.",negative
"The concert was spectacular!",positive
"This is absolutely terrible!",negative
"The weather is perfect today!",positive
"I'm so frustrated!",negative
"The food was amazing!",positive
"This is completely useless.",negative
"The show was incredible!",positive
"I'm so mad about this!",negative
"The service was excellent!",positive
"This is the worst thing I've ever seen!",negative
"The book was wonderful!",positive
"I'm so irritated!",negative
"The experience was fantastic!",positive
"This is completely awful!",negative
"The food was horrible!",negative
"The movie was boring and slow.",negative
"The customer service was rude and unhelpful.",negative
"This product is a complete failure.",negative
"The app crashes constantly.",negative
"The delivery was extremely late.",negative
"The quality is terrible.",negative
"This is a waste of money.",negative
"The performance is awful.",negative
"The interface is confusing and frustrating.",negative
"This is the worst purchase I've ever made.",negative
"The food was cold and tasteless.",negative
"The service was slow and inefficient.",negative
"This is completely broken and unusable.",negative
"The movie was terrible and boring.",negative
"The product doesn't work at all.",negative
"This is a complete disaster.",negative
"The experience was horrible.",negative
"The food was disgusting.",negative
"The service was terrible.",negative
"This is absolutely worthless.",negative
"The quality is poor.",negative
"This is the worst.",negative 